"id","profesion","actividad","est_civil","sexo_desc","tipo_nacionalidad","edad","estrato","ind_defuncion","ind_interd","n_direccion","comuna","ind_region_rm","avaluo_bbrr","cant_bbrr","avaluo_auto","cant_autos","n_actividad","n_rubros","clean2","tot_docs","tot_mont","ind_morosidad1","ind_morosidad2","ind_consultas_id","status_salud_publica","tramo_salud_publico","cant_personas_fam","cant_vivos_fam","cant_hijos_fam","longitud","latitud","periodo"
"1"," "," ","SOLTERO","M","CHILENO",25,"SIN CLASIFICACION","V"," ",0,"0",0,"0",0,1185294,0,0,0,1,0,0,0,0,0,"S","D",1,1,0," "," ",2017
"2"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",3,"1",0,"0",0,763333,1,0,0,1,0,0,0,0,1,"S","D",3,3,0,"-71.3877118.93E-4","-30.6533818.93E-4",2017
"3"," "," ","SOLTERO","F","CHILENO",25,"SIN CLASIFICACION","V"," ",1,"2",0,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",4,4,0,"-69.1890188.93E-4","-26.2388598.93E-4",2017
"4"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"1",0,"0",0,0,0,1,1,1,0,0,0,0,1,"S","D",3,3,1,"-70.3166358.93E-4","-27.3593778.93E-4",2017
"5"," "," ","SOLTERO","F","CHILENO",25,"SIN CLASIFICACION","V"," ",1,"6",0,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",4,4,0,"-71.2778.93E-4","-32.9804578.93E-4",2017
"6"," "," ","SOLTERO","M","CHILENO",25,"D","V"," ",1,"1",0,"0",0,985000,1,0,0,1,0,0,0,0,1,"S","D",3,3,1,"-70.3119898.93E-4","-18.471758.93E-4",2017
"7"," "," ","SOLTERO","M","CHILENO",28,"D","V"," ",1,"2",0,"0",0,0,0,0,0,0,0,0,0,0,0,"S","D",3,3,0,"-70.0518658.93E-4","-26.3910378.93E-4",2017
"8"," "," ","SOLTERO","M","CHILENO",25,"C3","V"," ",1,"3",1,"0",0,0,0,0,0,1,0,0,0,0,1,"S","D",3,3,0,"-70.4546748.93E-4","-33.5767638.93E-4",2017
"9"," "," ","SOLTERO","M","CHILENO",25,"SIN CLASIFICACION","V"," ",1,"3",1,"0",0,0,0,0,0,0,5,26.9300003051758,1,0,1,"S","D",4,4,0,"-70.0957728.93E-4","-33.701268.93E-4",2017
"10"," "," "," ","M","CHILENO",26,"SIN CLASIFICACION","V"," ",2,"1",1,"0",0,7842000,0,0,0,1,0,0,0,0,0,"S","D",3,3,0,"-71.2363288.93E-4","-33.6834498.93E-4",2017
"11"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,1,"S","D",3,3,0,"-71.2266548.93E-4","-33.6809698.93E-4",2017
"12"," "," ","SOLTERO","F","CHILENO",26,"SIN CLASIFICACION","V"," ",2,"4",1,"0",0,0,0,1,1,1,0,0,0,0,1,"S","D",6,6,0,"-71.2118458.93E-4","-33.4961098.93E-4",2017
"13"," "," ","SOLTERO","M","CHILENO",26,"D","V"," ",0,"0",0,"0",0,0,0,0,0,0,5,5.42000007629395,0,1,1,"S","D",5,5,0," "," ",2017
"14"," "," ","SOLTERO","F","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"17",0,"0",0,0,0,0,0,1,0,0,0,0,1,"S","D",4,4,0,"-71.3305448.93E-4","-34.1643458.93E-4",2017
"15"," ","EMPLEADO","SOLTERO","M","CHILENO",29,"E","V"," ",1,"1",1,"0",0,0,0,0,0,0,0,0,0,0,0,"S","D",3,3,1,"-71.2343678.93E-4","-33.6806378.93E-4",2017
"16"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"4",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",4,4,0,"-71.2118458.93E-4","-33.4961098.93E-4",2017
"17"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",2,"4",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",3,3,0,"-71.2243048.93E-4","-33.7422528.93E-4",2017
"18"," "," ","SOLTERO","F","CHILENO",26,"E","V"," ",0,"0",0,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",7,7,0," "," ",2017
"19"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"1",1,"0",0,1951904,5,4,1,0,28,467.350006103516,1,1,0,"S","D",5,4,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"20"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"1",1,"0",0,1582727,1,0,0,1,0,0,0,0,0,"S","D",4,3,0,"-71.2301718.93E-4","-33.687458.93E-4",2017
"21"," ","OPERARIO","CASADO","M","CHILENO",37,"E","V"," ",5,"1",1,"6959675",1,350000,2,0,0,0,18,27.7700004577637,1,1,0,"S","D",2,2,0,"-71.2240148.93E-4","-33.6965798.93E-4",2017
"22"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",4,4,0,"-71.2292258.93E-4","-33.6829268.93E-4",2017
"23"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,0,0,0,0,0,1,"S","D",3,3,1,"-71.2093518.93E-4","-33.6782498.93E-4",2017
"24"," "," ","SOLTERO","F","CHILENO",26,"D","V"," ",3,"1",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",4,3,0,"-71.224488.93E-4","-33.6836748.93E-4",2017
"25"," "," ","SOLTERO","F","CHILENO",26,"SIN CLASIFICACION","V"," ",0,"0",0,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",4,4,0," "," ",2017
"26"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"3",1,"0",0,0,0,0,0,0,1,0.28999999165535,1,0,1,"S","D",3,3,0,"-71.0353398.93E-4","-33.6668598.93E-4",2017
"27"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"3",1,"0",0,0,0,0,0,0,6,63.8499984741211,0,1,1,"S","D",3,3,1,"-71.0353398.93E-4","-33.6668598.93E-4",2017
"28"," "," ","SOLTERO","F","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,0,2,10.8599996566772,1,1,1,"S","D",5,5,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"29"," "," ","SOLTERO","F","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,0,0,0,0,0,1,"S","D",3,3,1,"-71.1499948.93E-4","-33.654438.93E-4",2017
"30"," "," ","CASADO","F","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,0,0,0,0,0,0,0,0,1,"S","D",2,2,0,"-71.2163478.93E-4","-33.7097248.93E-4",2017
"31"," "," ","SOLTERO","F","CHILENO",26,"E","V"," ",2,"1",1,"0",0,0,0,1,1,1,0,0,0,0,1,"S","D",4,4,0,"-71.2324838.93E-4","-33.6806268.93E-4",2017
